driver_id,total_fare,avg_distance
41,235.58,4.39
55,159.58,15.353333333333333
93,122.71,20.42
95,255.39000000000001,38.806666666666665
38,189.24,20.426666666666666
40,22.21,3.83
25,166.01,34.155
53,129.98000000000002,21.83
92,212.84999999999997,18.026666666666667
86,146.38,47.2
58,215.1,35.31333333333333
33,225.92000000000002,24.729999999999997
48,43.0,27.06
97,108.46,20.6
84,388.44,13.002500000000001
9,6.72,39.5
32,53.86,3.91
88,93.95,26.59
56,214.83999999999997,25.93
36,19.76,21.74
10,40.86,13.82
37,96.95,43.16
49,70.65,47.15
63,30.97,33.56
65,47.74,48.78
4,153.54000000000002,5.18
39,147.71,40.17
62,33.7,37.76
12,98.83,36.84
14,34.27,3.95
66,79.54,24.65
72,64.99,27.85
76,34.3,29.45
2,106.63,27.215
80,128.47,12.879999999999999
50,70.04,8.63
45,97.38,1.21
57,56.26,39.52
